offline_datapoint_17 1675561052 6,671
offline_datapoint_7 1675561052 118,623
offline_datapoint_16 1675561054 0,000
offline_datapoint_20 1675561054 231,000
offline_datapoint_10 1675561052 0,145
offline_datapoint_2 1675561052 3,132
offline_datapoint_15 1675561052 3,277
offline_datapoint_8 1675561052 2,332
offline_datapoint_14 1675561052 4,332
offline_datapoint_18 1675561052 1,999
offline_datapoint_12 1675561052 0,001
offline_datapoint_9 1675561052 0,008
offline_datapoint_21 1675561052 0,033
offline_datapoint_13 1675561052 0,001
offline_datapoint_0 1675561052 0,031
offline_datapoint_4 1675561055 68,292
offline_datapoint_5 1675561057 7610920960,000
offline_datapoint_22 1675561057 1051,000
offline_datapoint_3 1675561055 3,999
offline_datapoint_1 1675561055 0,000
offline_datapoint_11 1675561055 541,465
offline_datapoint_6 1675561055 0,000
offline_datapoint_19 1675561055 0,000
offline_datapoint_17 1675561055 9,477
offline_datapoint_7 1675561055 0,000
offline_datapoint_16 1675561057 0,000
offline_datapoint_20 1675561057 231,000
offline_datapoint_10 1675561055 0,200
offline_datapoint_2 1675561055 0,000
offline_datapoint_15 1675561055 0,200
offline_datapoint_8 1675561055 3,011
offline_datapoint_14 1675561055 3,011
offline_datapoint_18 1675561055 0,000
offline_datapoint_12 1675561055 0,001
offline_datapoint_9 1675561055 0,001
offline_datapoint_21 1675561055 0,002
offline_datapoint_13 1675561055 0,002
offline_datapoint_0 1675561055 0,000
offline_datapoint_4 1675561058 68,292
offline_datapoint_5 1675561060 7610920960,000
offline_datapoint_22 1675561060 1050,000
offline_datapoint_3 1675561058 0,000
offline_datapoint_1 1675561058 0,000
offline_datapoint_11 1675561058 144,871
offline_datapoint_6 1675561058 3,329
offline_datapoint_19 1675561058 2,264
offline_datapoint_17 1675561058 17,220
offline_datapoint_7 1675561058 2683,666
offline_datapoint_16 1675561060 0,000
offline_datapoint_20 1675561060 231,000
offline_datapoint_10 1675561058 0,174
offline_datapoint_2 1675561058 3,544
offline_datapoint_15 1675561058 3,718
offline_datapoint_8 1675561058 2,330
offline_datapoint_14 1675561058 5,659
offline_datapoint_18 1675561058 3,329
offline_datapoint_12 1675561058 0,001
offline_datapoint_9 1675561058 0,007
offline_datapoint_21 1675561058 0,037
offline_datapoint_13 1675561058 0,002
offline_datapoint_0 1675561058 0,035
offline_datapoint_4 1675561061 68,371
offline_datapoint_5 1675561063 7619715072,000
offline_datapoint_22 1675561063 1051,000
offline_datapoint_3 1675561061 21,304
offline_datapoint_1 1675561061 0,000
offline_datapoint_11 1675561061 1048,900
offline_datapoint_6 1675561061 0,000
offline_datapoint_19 1675561061 2,212
